geo,pearson,pearson_p,spearman,spearman_p,n
AT,-0.0056580572082790374,0.7614983123017485,-0.01576943715192998,0.39757393248209894,2880
BE,-0.003983774149009732,0.8325282771671862,0.007112825559530468,0.7057615926711353,2820
BG,-0.013692272146571398,0.46263195387409883,-0.01884734063984283,0.31196610410313774,2880
CH,-0.017242259056057592,0.37047404372914045,-0.0440307944628669,0.022140005839779646,2700
CY,0.02893315490386664,0.12451455609754244,0.0053184879545768735,0.7777073360292934,2820
CZ,-0.0037222962607757763,0.8417360556631761,-0.003789054652173275,0.8389361431739731,2880
DE,-0.00823160200837605,0.6588005211710669,-0.01783835993143199,0.33858370623561174,2880
DK,0.014351551292608528,0.49720426513623145,0.04312040627873503,0.041286614437684145,2240
EA20,0.009387714032144473,0.6145495271552028,0.025185741440236983,0.17661975287831036,2880
EE,-0.002769435323676448,0.8819014214607378,0.00065601378448705,0.971928144751914,2880
EL,0.0544098705866207,0.0034909337907592965,0.06388836629299062,0.0006021899963855646,2880
ES,0.011755331987666612,0.5282986738709495,0.027015793991353974,0.1472106164993421,2880
EU27_2020,0.00608208540651427,0.7442274398014287,0.01563966288504827,0.4014696818430278,2880
FI,-0.006773413336063077,0.7163465311599805,0.0019848108803646345,0.9152094614665967,2880
FR,0.0024493291084455083,0.8954684377525616,-0.0006780604962954478,0.9709851404809995,2880
HR,0.02032819558628533,0.2805276686125992,0.04577551805729403,0.015055357018575861,2820
HU,-0.00022385837471411256,0.990419004298888,-0.0023217047288371685,0.9008862831312834,2880
IE,-0.0024480464948007903,0.8948751162163404,0.0069561411002067725,0.7073071553560064,2916
IS,-0.012324004663664186,0.5085395384222399,-0.005481933949459957,0.7687075139521927,2880
IT,0.028758267677051107,0.15222274848930664,0.046181459158892435,0.02145469475543844,2480
LT,-0.024211380968928747,0.1939626708459328,-0.07443256087468927,6.380356078875193e-05,2880
LU,-0.020736686781182807,0.26593014843576834,-0.05433991088891268,0.0035333080541429815,2880
LV,0.02262573780092498,0.2248039504423527,0.039557530539017366,0.03377152695830683,2880
MT,0.04386290455415372,0.018570536111508246,0.0682354649371338,0.00024774362797023997,2880
NL,0.008166471821356377,0.6613312517363631,0.021592910076803907,0.2466889464744687,2880
NO,0.004838006136757239,0.7952313820313976,0.010203615061581852,0.5841314444580448,2880
PL,0.01661646195485139,0.37271067769437255,0.049003170429286855,0.008532847225787784,2880
PT,-0.002813518749791283,0.8800356582999113,-0.011024840659995625,0.5542416138686741,2880
RO,0.023894580845760738,0.2046164093715923,0.02849624136315783,0.1303072553019994,2820
SE,-0.007380050874688135,0.6921872497666698,-0.0070185082313128245,0.7065498220839377,2880
SI,-0.008990669855556084,0.633194394826635,-0.014093887049000347,0.45437421438215164,2820
SK,0.0003863440168423093,0.9834655082183085,-0.003834058109801341,0.8370498008503928,2880
TR,0.015083268350470351,0.4835270621439305,0.024481507041724023,0.2554089448000916,2160
US,-0.008173926149155271,0.8103926230490309,-0.021687320484460676,0.5243682133266773,864
